Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Pão de hambúrguer,1 unidade,70,40,188,787,,,
Pão de leite,1 unidade,54,30,149,623,,,
Pão de mel,1 unidade média,15,13,76,318,,,
Pão de mel doce de leite Cacau Show,1 unidade,50,30,190,795,,,
Pão de mel doce de leite Cacau Show®,1 unidade,50,30,190,795,,,
Pão de milho caseiro,1 fatia média,70,43,200,837,,,
Pão de milho com 50% de farinha de trigo,1 unidade,70,42,204,854,,,
Pão de milho de forma Panco®,1 unidade,32,19,96,402,,,
Pão de milho industrializado,1 unidade,70,43,201,841,,,
Pão de passas,1 unidade,50,26,136,569,,,
Pão de queijo,1 unidade pequena,20,9,87,364,,,
Pão de queijo,1 unidade super lanche,90,40,391,1636,,,
Pão de queijo light Forno de Minas ®,1 unidade média,27,9,55,230,,,
Pão de queijo light Forno de Minas®,1 unidade média,27,9,55,230,,,
Pão de torresmo,1 fatia,70,33,375,1569,,,
Pão Do Forno 100% Integral ( Wickbold) ®,1 fatia,33,11,77,322,,,
Pão doce,1 unidade,50,28,134,561,,,
Pão francês,1 unidade,50,29,135,565,,,
Pão francês,1 unidade,50,28,135,565,,,
Pão italiano,1 fatia,50,28,125,523,,,
Pão italiano branco ( Subway) ®,1 porção,73,36,194,812,,,
Pão ligth de quinua Sonda®,2 fatias,50,21,114,477,,,
Pão parmesão e orégano ( Subway) ®,1 porção,76,36,210,879,,,
Pão sírio ( Habibs) ®,1 porção,80,42,260,1088,,,
Pão sírio integral Pita Bread ®,1 unidade,50,24,124,519,,,
Pão sírio integral Pita Bread®,1 unidade,53,11,53,222,,,
Pão sírio Pita Bread,1 unidade média,58,33,158,661,,,
Pão sírio Pita Bread ®,1 unidade,50,28,139,582,,,
Pão sírio Pita Bread®,1 unidade média,58,33,158,661,,,
Pão tostado na chapa ( Habibs) ®,1 porção,75,31,236,987,,,
Papinha de banana e aveia Nestlé ®,1 pote,120,13,62,259,,,
Papinha de banana e aveia Nestlé®,1 pote,120,24,104,435,,,
Papinha de carne com legumes Nestlé®,1 pote,155,9,83,347,,,
Papinha de macarrão carne e legumes Nestlé ®,1 pote,170,16,128,536,,,
Pasta de amendoim integral Power one ®,1 colher de sopa,15,3,91,381,,,
Pasta de atum,1 colher de sopa cheia,35,2,112,469,,,
Pasta de tofu,1 colher de sopa cheia,26,2,45,188,,,
Pastel de belém (Habib•s) ®,1 unidade,50,19,146,611,,,
Pastel de belém (Habib´s®),1 unidade,50,14,107,448,,,
Pastel de carne,1 unidade média,32,5,84,351,,,
Pastel de carne (Habibs) ®,1 unidade,75,19,223,933,,,
Pastel de queijo,1 unidade média,25,5,75,314,,,
Pastel de queijo (Habibs) ®,1 unidade,75,18,252,1054,,,
Pastel de queijo de forno,1 unidade grande,40,15,185,774,,,
Pastel português,1 unidade média,35,10,149,623,,,
Pastelzinho,1 unidade pequena,8,3,24,100,,,
Patê de atum Coqueiro ®,1 colher de chá,10,0,14,59,,,
Patê de atum Coqueiro®,1 colher de chá,10,0,17,71,,,
Patê de atum light Gomes da Costa ®,1 colher de chá,10,1,12,50,,,
Patê de atum ligth Gomes da Costa®,1 colher de chá,10,1,12,50,,,
"Patê de Foie Gras, enlatado, defumado",1 colher de cha cheia,8,0,22,92,,,
"Patê de Foie Gras, enlatado, defumado",1 colher de chá cheia,8,0,22,92,,,
Patê de frango com ervas finas Excelsior ®,1 colher de chá,10,1,20,84,,,
Patê de frango com ervas finas Excelsior®,1 colher de chá,10,1,20,84,,,
Patê de peito de peru defumado Sadia ®,1 colher de chá,10,0,22,92,,,
Patê de peito de peru defumado Sadia®,1 colher de chá,10,0,22,92,,,
Patê de salmão Gomes da Costa®,1 colher de chá,10,0,15,63,,,
Pato no tucupi assado,1 sobrecoxa,100,3,303,1268,,,
Pavê de chocolate,1 pedaço médio,85,16,154,644,,,
Pavê de chocolate branco Amor aos Pedaços ®,1 fatia,60,22,226,946,,,
Pavê de chocolate branco Amor aos Pedaços®,1 fatia,60,20,208,870,,,
Pave de cholocale ao leite,2 colheres de copa cheias,85,34,200,837,,,
Pé-de-moleque,1 unidade média,17,10,88,368,,,
Pé-de-moleque (Norte),1 pedaço médio,100,45,336,1406,,,
Pé-de-moleque diet Airon ®,1 unidade média,14,6,61,255,,,
Pé-de-moleque diet Airon®,1 unidade média,14,6,61,255,,,
Pé-de-moleque Santa Helena ®,1 unidade,15,10,73,305,,,
Pé-de-moleque Santa Helena*®,1 unidade,17,10,88,368,,,
Peito de peru defumado light Sadia ®,1 fatia,20,0,21,88,,,
Peito de peru defumado ligth Sadia®,1 fatia,20,0,21,88,,,
Peito de peru defumado Perdigão ®,1 fatia,25,0,41,172,,,
Peito de peru defumado Perdigão®,1 fatia,25,0,41,172,,,
Peixe de água doce cozido (média),1 filé médio,120,0,117,490,,,
Peixe do mar cozido (média),1 filé médio,120,0,117,490,,,
Peixe grelhado,1 posta ou filé,100,0,180,753,,,
Peixe na telha,1 posta média,230,7,262,1096,,,
Pepino com casca (picles),1/4 xícara de chá,50,2,12,50,,,
Pepino cru,1 fatia pequena,3,0,1,4,,,
Pequi refogado,4 unidades médias,70,9,143,598,,,
Pêra crua,1 unidade média,130,19,80,335,,,
Pernil assado,1 fatia,100,1,94,393,,,
Pernil assado,1 fatia,100,"1,7",94,393,,,
Pernil suíno temperado Seara ®,1 fatia,100,0,169,707,,,
Pernil suíno temperado seara®,2 ¹/² fatia,100,2,140,586,,,
Peru (carne branca assada),1 pedaço médio,32,0,57,238,,,
Pescada inteira crua,1 pedaço médio,100,0,111,464,,,
Pêssego amarelo,1 unidade média,60,6,29,121,,,
Pessego em calda,1 metade,30,6,25,105,,,
Pêssego em calda Schramm ®,1 metade,30,10,41,172,,,
Petit Gateau de chocolate ( Habibs) ®,1 unidade,185,64,634,2653,,,
Picolé abacaxi Kibon ®,1 unidade,59,16,65,272,,,
Picolé abacaxi Kibon®,1 unidade,59,16,65,272,,,
Picolé chicabon Kibon ®,1 unidade,65,19,106,444,,,
Picolé chicabon Kibon®,1 unidade,65,19,106,444,,,
Picolé Chicabon zero Kibon ®,1 unidade,63,13,74,310,,,
Picolé de coco la frutta Nestlé ®,1 unidade,58,13,90,377,,,
Picolé de coco la frutta Nestlé®,1 unidade,58,13,90,377,,,
Picolé de morango la frutta Nestlé ®,1 unidade,60,8,36,151,,,
Picolé de morango la frutta Nestlé®,1 unidade,60,8,36,151,,,
Picolé de uva la frutta Nestlé ®,1 unidade,61,15,62,259,,,
Picolé de uva la frutta Nestlé®,1 unidade,61,15,62,259,,,
Picolé fruttare coco Kibon ®,1 unidade,60,14,84,351,,,
Picolé fruttare limão Kibon ®,1 unidade,58,13,51,213,,,
Picolé fruttare limão Kibon®,1 unidade,58,13,51,213,,,
Picolé fruttare manga Kibon ®,1 unidade,83,22,92,385,,,
Picolé fruttare uva Kibon ®,1 unidade,59,15,60,251,,,
Picolé mega clássico Nestlé ®,1 unidade,73,26,240,1004,,,
Picolé mega clássico Nestlé®,1 unidade,77,22,238,996,,,
Picolé mega trufas Nestlé ®,1 unidade,71,27,240,1004,,,
Picolé mega trufas Nestlé®,1 unidade,77,27,258,1079,,,
Pimenta-do-reino,1 colher de sopa,10,0,2,8,,,
Pimenta-malagueta,1 colher de sopa cheia,15,1,6,25,,,
Pimentão,1 colher de sopa cheia,13,1,7,29,,,
Pinha,1 unidade,60,13,53,222,,,
Pinhão,1 unidade média,10,5,25,105,,,
Pinhão cozido,1 concha,100,44,174,728,,,
Pinhão cozido,1 unidade,10,4,17,71,,,
Pipoca doce,1 saco médio,20,20,95,397,,,
Pipoca doce Yoki ®,1/2 xícara de chá,25,19,113,473,,,
Pipoca no óleo/manteiga com sal,1 saco médio,20,14,90,377,,,
Pipoca salgada,1 saco médio,20,14,90,377,,,
Piquiá,1 unidade pequena,50,15,179,749,,,
Pirão de farinha de mandioca,1 colher de sopa cheia,30,9,36,151,,,
Pirarucu,1 filé médio,100,0,120,502,,,
Pirarucu de casaca,1 escumadeira cheia,110,25,293,1226,,,
Pirulito,1 unidade,20,19,74,310,,,
Pistache,1 unidade,1,0,4,17,,,
Pitanga,1 unidade,15,1,7,29,,,
Pitaya,1 fatia,120,16,278,1163,,,
Pitaya,1 unidade,200,14,84,351,,,
Pitomba,10 unidades,60,5,20,84,,,
Pizza à moda da casa Habibs ®,1 fatia,93,28,282,1180,,,
Pizza Brasileira,1 fatia média,111,25,268,1121,,,
Pizza Califórnia,1 fatia média,100,26,213,891,,,
Pizza de Alcachofra,1 fatia média,100,21,273,1142,,,
Pizza de atum,1 fatia média,100,21,258,1079,,,
Pizza de bacon,1 fatia média,100,22,288,1205,,,
Pizza de bacon com requeijão,1 fatia média,123,26,244,1021,,,
Pizza de bacon com requeijão (Pan) ®,1 fatia média,122,24,324,1356,,,
Pizza de banana com canela,1 fatia média,100,40,207,866,,,
Pizza de brigadeiro,1 fatia média,100,59,402,1682,,,
Pizza de calabresa,1 fatia média,100,21,240,1004,,,
Pizza de camarão,1 fatia média,100,21,268,1121,,,
Pizza de champignon,1 fatia média,100,22,222,929,,,
Pizza de chocolate ao leite,1 fatia média,100,54,483,2021,,,
Pizza de chocolate branco,1 fatia média,100,41,443,1854,,,
Pizza de doce de leite,1 fatia média,100,51,423,1770,,,
Pizza de Escarola,1 fatia média,100,22,294,1230,,,
Pizza de frango,1 fatia média,100,22,229,958,,,
Pizza de frango com catupiry,1 fatia média,111,25,274,1146,,,
Pizza de marguerita,1 fatia média,119,27,274,1146,,,
Pizza de mussarela,1 fatia média,100,22,278,1163,,,
"Pizza de mussarela de búfala, rúcula e tomate seco",1 fatia média,100,22,165,690,,,
Pizza de palmito com mussarela,1 fatia média,100,25,220,920,,,
Pizza de pepperoni,1 fatia média,102,26,274,1146,,,
Pizza de portuguesa,1 fatia média,125,24,246,1029,,,
Pizza de Prestígio,1 fatia média,100,55,420,1757,,,
Pizza de quatro queijos,1 fatia média,100,27,277,1159,,,
Pizza de quatro queijos com catupiry Habibs ®,1 fatia média,105,17,270,1130,,,
Pizza de Romeu e Julieta,1 fatia média,100,27,266,1113,,,
Pizza de Rúcula,1 fatia média,100,22,255,1067,,,
Pizza Napolitana,1 fatia média,100,20,207,866,,,
Pizza Toscana,1 fatia média,100,20,227,950,,,
Pizza Vegetariana,1 fatia média,111,22,192,803,,,
Polenguinho,1 unidade,20,0,67,280,,,
Polenguinho ®,1 unidade,20,2,72,301,,,
Polenguinho light ®,1 unidade,20,2,51,213,,,
Polenta com molho de carne,1 escumadeira,100,8,59,247,,,
Polenta cozida,1 pedaço médio,30,3,20,84,,,
Polenta frita,1 pedaço pequeno,20,2,18,75,,,
Polenta mole,1 concha pequena,100,8,59,247,,,
Polpetone a parmeggiana,1 unidade,150,12,280,1172,,,
Polpetone a parmegiana,1 unidade,150,12,280,1172,,,
Polvilho,1 colher de sopa cheia,16,14,56,234,,,
Polvo cru,1 porção,200,4,160,669,,,
Porco frito com rodelas de limão,1 porção,100,0,311,1301,,,
Prato do chef picanha 160g (Bob's) ®,1 porção,300,29,608,2544,,,
Prato do chef picanha 160g (Bob’s®),1 porção,300,29,608,2544,,,
Prato primavera (Habib’s®),1 unidade,435,27,460,1925,,,
Prato primavera (Habibs) com pão sírio ®,1 porção,559,83,772,3230,,,
Prato verão (Habib’s®),1 unidade,330,35,420,1757,,,
Prato verão (Habibs) ®,1 porção,451,76,723,3025,,,
Premium salad (Mc'Donalds) ®,1 porção,0,3,104,435,,,
Premium salad (Mc’Donalds®),1 porção,,3,104,435,,,
Premium salad crispy (Mc’Donalds®),1 porção,,17,317,1326,,,
Premium salad grill (Mc’Donalds®),1 porção,,3,227,950,,,
Presunto cozido,1 fatia média,15,0,22,92,,,
Presunto de peru,1 fatia média,15,0,15,63,,,
Pringles original ®,1 unidade,2,1,10,42,,,
Pringles sabor cebola ®,1 porção,25,14,129,540,,,
Pringles® original,1 unidade,2,1,10,42,,,
Pringles® sabor cebola,1 unidade,2,1,10,42,,,
Pudim de leite,1 fatia média,50,12,91,381,,,
Pudim de passas,1 fatia média,50,14,95,397,,,
Pudim de tapioca,1 fatia grande,110,19,263,1100,,,
Pudim de tapioca com leite condensado,1 fatia grande,90,40,150,628,,,
Pupunha,1 unidade média,25,5,41,172,,,
Purê de batata,1 colher de sopa cheia,45,8,56,234,,,
Purê de batata,1 concha,140,22,152,636,,,
Purê de inhame,1 colher de sopa cheia,40,7,49,205,,,
Purê de tomate,1 colher de sopa cheia,45,5,22,92,,,
Quarteirão (Mc’ Donalds®),1 unidade,,35,533,2230,,,
Quarteirão Sanduíche Mc'Donalds®,1 unidade padrão,0,35,523,2188,,,
Quebra-Queixo,1 pedaço pequeno,20,22,180,753,,,
Queijadinha,1 unidade pequena,20,10,70,293,,,
Queijadinha de coco,1 unidade média,35,9,72,301,,,
Queijadinha de Coco,1 unidade pequena,35,9,72,301,,,
Queijo Brie,1 fatia e meia,38,1,"126,9",531,,,
Queijo Camembert,1 unidade pequena,50,0,150,628,,,
Queijo Canastra,1 fatia,30,3,72,301,,,
Queijo Catupiry® Original,1 colher de sopa cheia,30,0,80,335,,,
Queijo Cheddar,1 fatia,30,0,"120,9",506,,,
Queijo Coalho,1 fatia fina,35,0,117,490,,,
Queijo Cottage,1 colher de sopa cheia,30,1,29,121,,,
Queijo de Cabra,1 porção,30,0,135,565,,,
Queijo de coalho em espeto,1 unidade,30,0,100,418,,,
Queijo Edam Tirolez®,1 pedaço,30,0,104,435,,,
Queijo Emental Polenghi®,1 fatia,20,1,55,230,,,
Queijo Gorgonzola nacional,1 fatia média,30,1,105,439,,,
Queijo gorgonzola nacional,1 fatia média,38,0,151,632,,,
Queijo Gouda,2 fatias,30,0,100,418,,,
Queijo Gruyere Polenghi®,1 fatia,30,0,113,473,,,
Queijo minas frescal light Polenghi ®,1 colher de sopa,25,1,33,138,,,
Queijo Minas meia cura,1 fatia,30,1,96,402,,,
Queijo Minas Padrão (média),1 fatia,30,0,107,448,,,
Queijo Minas Padrão Vegano VidaVeg®,1 fatia,30,9,93,389,,,
Queijo Muçarela,1 fatia média,20,0,65,272,,,
Queijo muçarela de búfala,1 fatia média,15,0,43,180,,,
Queijo Muçarela Light,1 fatia,15,0,38,159,,,
Queijo Muçarela Vegano VidaVeg®,1 fatia,30,9,95,397,,,
Queijo mussarela,1 fatia média,15,0,42,176,,,
Queijo parmesão,1 fatia,30,0,116,485,,,
Queijo parmesão,1 pedaço pequeno,15,0,54,226,,,
Queijo parmesão nacional,1 colher de sopa cheia,15,0,61,255,,,
Queijo parmesão ralado,1 colher de sopa,15,0,70,293,,,
Queijo Polenguinho® Light,1 unidade,20,1,35,146,,,
Queijo prato,1 fatia média,15,0,59,247,,,
Queijo provolone,1 fatia média,15,0,52,218,,,
Queijo provolone,1 fatia média,30,1,103,431,,,
Queijo provolone nacional,1 fatia média,15,0,51,213,,,
Queijo provolone Tirolez®,2 fatias,30,0,113,473,,,
Queijo ricota,1 fatia média,35,1,54,226,,,
Queijo roquefort,1 fatia pequena,20,0,71,297,,,
Queijo roquefort nacional,1 fatia média,30,0,120,502,,,
Queijo suiço,1 fatia média,30,0,120,502,,,
Queijo suíço,1 fatia média,30,0,120,502,,,
Queijo tipo requeijão,1 fatia média,30,0,89,372,,,
Queijo tipo ricota nacional,1 fatia média,30,0,54,226,,,
Queijo tofu,1 pedaço pequeno,10,0,7,29,,,
Queijo-de-minas frescal,1 fatia média,30,1,73,305,,,
Queijo-de-minas frescal,1 fatia média,30,0,73,305,,,
Queijo-de-minas frescal light,1 fatia média,30,1,71,297,,,
Queijo-de-minas frescal light,1 fatia média,30,0,46,192,,,
Queijo-do-reino Tirolez®,1 pedaço pequeno,30,0,108,452,,,
Quentão,1/2 copo,100,34,295,1234,,,
Quiabo cozido sem sal,1 colher de sopa,20,1,15,63,,,
Quiabo cozido sem sal,1 colher de sopa cheia,40,3,15,63,,,
Quibe assado,1 porção,100,15,172,720,,,
Quibe assado,1 porção\pedaço médio,100,15,172,720,,,
Quibe cru,1 porção,100,20,126,527,,,
Quibe cru,1 porção\pedaço médio,100,20,126,527,,,
Quibe frito,1 unidade média,50,9,127,531,,,
Quibe frito (festa),1 unidade pequena,12,2,31,130,,,
Quibe frito (Habib’s®),1 unidade,85,14,152,636,,,
Quibe frito (Habibs)®,1 unidade padrão\média,85,14,152,636,,,
Quibebe,1 colher de sopa,25,3,22,92,,,
Quiche de Espinafre,1 fatia média,100,14,155,649,,,
Quiche de Presunto e Queijo,1 unidade,50,10,259,1084,,,
Quiche de Presunto e Queijo,1 unidade pequena,50,10,259,1084,,,
Quiche de Queijo,1 unidade pequena,30,11,227,950,,,
Quiche de Queijo Sadia®,1 fatia,113,21,357,1494,,,
Quindim,1 unidade grande,70,30,222,929,,,
Quindim,1 unidade média,35,15,111,464,,,
Quindim,1 unidade pequena,18,8,56,234,,,
Quinoa em grãos Mãe Terra®,1/4 xícara de chá,45,33,179,749,,,
Quinua em flocos Mãe Terra®,1/2 xícara de chá,40,29,159,665,,,
"Rã, carne de (desfiada)",1 colher de sopa cheia,10,0,7,29,,,
Rabada,1 unidade média,40,1,155,649,,,
Rabada crua,1 unidade média,40,0,155,649,,,
Rabada de Boi,1 porção,100,0,365,1527,,,
Rabanada,1 unidade média,60,19,175,732,,,
Rabanada,1 unidade média,60,48,249,1042,,,
Rabanada com açúcar e canela em pó,1 porção,100,31,293,1226,,,
Rabanete cru,1 colher de sopa cheia,35,1,8,33,,,
Rabanete cru,1 prato de sobremesa,100,3,14,59,,,
Rap Comum Pullman®,1 unidade,40,20,110,460,,,
Rap Integral Pullman®,1 unidade,40,20,120,502,,,
Rap Light Pullman®,1 unidade,40,17,83,347,,,
Rapadura,1 pedaço médio,55,48,194,812,,,
Rapadura de Minas - Rapadurinha®,1 unidade padrão\1 porção,25,22,"85,7",359,,,
Ratatouille,1 porção,107,6,77,322,,,
Ravióli de carne,1 escumadeira cheia,100,18,191,799,,,
Ravióli de carne,1 escumadeira cheia,100,20,136,569,,,
Ravióli de carne,1 escumadeira,50,26,141,590,,,
Ravióli de Carne Sadia®,1 xícara,100,51,296,1238,,,
Ravióli de Frango Sadia®,1 xícara,100,52,301,1259,,,
Ravióli de mussarela,1 escumadeira cheia,100,20,210,879,,,
Ravióli de Queijo,1 escumadeira,50,19,149,623,,,
Ravióli de Queijo Sadia®,1 xícara,100,43,285,1192,,,
Red Bull ® - bebida energética tradicional,1 lata,250,28,110,460,,,
Red Bull ® Sugar Free - bebida energética,1 lata,250,2,10,42,,,
Refresco comum com açúcar (média)- refresco de saquinho em pó,1 copo,200,15,56,234,,,
Refresco Diet Light®,1 copo,200,0,5,21,,,
Refrigerante,1 copo duplo,240,24,96,402,,,
Refrigerante citrus (Schweppes)®,1 lata,350,42,170,711,,,
Refrigerante citrus (Schweppes®),1 lata,350,42,170,711,,,
Refrigerante comum (média),1 copo duplo,240,24,96,402,,,
Refrigerante dietético,1 copo duplo cheio,240,0,1,4,,,
Refrigerante dietético\diet (média),1 copo duplo cheio,240,0,1,4,,,
Refrigerante zero,1 copo duplo,240,0,0,0,,,
Refrigerante zero (média),1 copo duplo,240,0,0,0,,,
Repolho cozido (picado),1 colher de sopa cheia,10,0,1,4,,,
Repolho cru (picado),1 colher de sopa cheia,10,0,2,8,,,
Requeijão comum,1 colher de sopa cheia,30,0,106,444,,,
Requeijão comum cremoso (média padrão),1 colher de sopa cheia,30,1,106,444,,,
Requeijão cremoso,1 colher de sopa cheia,30,1,106,444,,,
Requeijão cremoso Light,1 colher de sopa cheia,30,1,54,226,,,
Requeijão Itambé® - sabores Ervas Finas ou Cheddar,1 e 1\2 colher de sopa,45,1,126,527,,,
Requeijão Tradicional Vegano VidaVeg® de Castanha de Caju,1 colher de sopa,30,2,83,347,,,
Risole (salgado),1 unidade média,35,14,145,607,,,
Risole de Queijo,1 unidade,50,8,112,469,,,
Risoto,1 colher de sopa cheia,25,5,41,172,,,
Risoto (média),1 colher de sopa,25,6,41,172,,,
Risoto à grega Tio João®,1 colher de sopa rasa,15,12,53,222,,,
Risoto a milanes,1 colher de sopa cheia,25,19,95,397,,,
Risoto à milanesa,1 colher de sopa cheia,25,19,95,397,,,
Risoto de Camarão,1 colher de sopa cheia,25,6,45,188,,,
Risoto de Frango,1 colher de sopa cheia,25,6,45,188,,,
Rocambole De Baunilha com recheio Chocolate Bauducco®,1 fatia,60,24,193,808,,,
Rocambole de Doce de Leite,1 pedaço médio,80,45,232,971,,,
Rocambole doce Pullman® (média),1 fatia,50,31,180,753,,,
Rolinho Primavera,1 unidade,100,9,174,728,,,
Roll cake de chocolate,1 unidade,38,22,143,598,,,
Romã,1 unidade,150,23,84,351,,,
Romã Crua,1 unidade,100,15,55,230,,,
Rosbife,1 fatia,50,0,83,347,,,
Rosquinha de Coco Light Suavipan®,1 pacote,35,21,117,490,,,
Rosquinha LevSlim Cacau Suavipan®,1 pacotinho pequeno,30,18,98,410,,,
Rosquinhas de leite,1 unidade média,7,4,27,113,,,
Rosquinhas de leite (média),1 unidade média,7,4,27,113,,,
Rúcula,1 pires cheio,15,2,6,25,,,
Ruffles® Batata Chips,1 e 1/2 xícara de chá,25,12,141,590,,,
Rum (40% álcool),1 dose padrão,50,0,115,481,,,
Sagu,1 colher de sopa cheia,20,17,70,293,,,
Sagu com creme de baunilha,1 porção,100,37,159,665,,,
Sagu cru,1 colher de sopa cheia,30,27,105,439,,,
Sakemaki,1 unidade,15,3,22,92,,,
Salad caesar (Burguer King®),1 porção,,2,53,222,,,
Salada (Mc’Donalds®),1 porção,,1,8,33,,,
Salada agadir,1 porção,100,3,"162,53",680,,,
Salada almanara,1 porção,100,9,"156,35",654,,,
Salada Almanara,1 porção,100,12,293,1226,,,
Salada almanara®,1 porção,100,12,292,1222,,,
Salada caesar (Bob’s®),1 porção,100,5,74,310,,,
Salada com carne (160g) (Bob's) ®,1 porção,0,3,483,2021,,,
Salada com frango empanado (Bob's) ®,1 porção,0,17,418,1749,,,
Salada de atum (sanduiche) -Bob’s®,1 unidade,154,25,377,1577,,,
Salada de batata com maionese,1 colher de sopa cheia,38,44961,"40,9",171,,,
Salada de batata com maionese,1 colher de sopa cheia,38,7,58,243,,,
Salada de batata com maionese,1 Porção média,90,10,97,406,,,
Salada de batatas (Kartoffelsalat®),1 colher de sopa cheia,30,5,82,343,,,
Salada de batatas (Kartoftelsalat®),1 colher de sopa cheia,30,5,82,343,,,
"Salada de feijão fradinho, com pimentão e major-gomes",1 Porção,95,12,110,460,,,
Salada de frango (sanduiche) - Bob’s®,1 unidade,154,25,356,1490,,,
Salada de frutas,1 colher de sopa cheia,20,3,10,42,,,
Salada de frutas,1 potinho pequeno,120,18,65,272,,,
Salada de frutas completa,1 taça pequena,100,13,52,218,,,
"Salada de frutas sem açúcar (laranja, banana, maçã e mamão)",1 colher de sopa cheia,38,6,24,100,,,
"Salada de frutas sem açúcar (laranja, banana, maçã e mamão)",1 copo pequeno,150,24,99,414,,,
Salada de legumes com maionese,1 colher de sopa cheia,35,5,34,142,,,
"Salada de legumes com maionese (batata, cenoura e vagem)",1 colher de sopa cheia,38,3,"36,4",152,,,
"Salada de legumes cozida no vapor (couve-flor,cenoura, brócolis, batata e vagem)",1 Colher de sopa cheia,38,3,"13,3",56,,,
Salada Gourmet (Mc'Donalds),1 porção,0,3,51,213,,,
Salada tropical (Bob’s®),1 porção,99,7,26,109,,,
Salada tropical com tiras de hamburguer (Bob’s®),1 porção,277,10,289,1209,,,
Salada verde (Burguer King®),1 porção,,1,115,481,,,
Salada zero Beef (hambúrguer vegetal) (Bob's) ®,1 porção,0,17,372,1556,,,
Salame,1 fatia média,5,0,20,84,,,
Salame,1 fatia média,20,0,59,247,,,
Salgadinho de soja Jasmine®,1 colher de sopa,20,4,98,410,,,
Salgadinho MIx de soja Jasmine ®,1 pacote,40,6,188,787,,,
Salgadinho Pingo d'ouro sabor bacon Elma Chips ®,1 e 1/2 xícara,25,8,90,377,,,
Salgadinho Pingo d’ouro sabor baicon Elma Chips®,1 colher de sopa cheia,20,11,100,418,,,
Salgadinhos,1 unidade pequena,10,4,44,184,,,
Salmão defumado,1 porção,100,0,112,469,,,
Salmão defumado,1 porção,100,20,233,975,,,
Salmão filé a milanesa (farinha de rosca e ovo),1 fatia média,100,17,362,1515,,,
"Salmão filé cozido ao molho branco (farinha de trigo, manteiga e leite)",1 filé médio,100,4,199,833,,,
Salmão grelhado,1 fatia média,100,0,243,1017,,,
Salmão grelhado,1 filé pequeno,100,0,171,715,,,
Salmão grelhado,1 porção,100,"0,4",171,715,,,
Salmão grelhado,1 porção pequena,100,0,171,715,,,
Salpicão de frango,1 colher de sopa cheia,25,1,37,155,,,
Salpicão de frango,1 colher de sopa cheia,25,2,61,255,,,
Salsa crua,1 colher de sopa cheia,5,0,2,8,,,
Salsão/aipo cru,1 colher de sopa cheia,19,0,3,13,,,
Salsão/aipo cru,1 colher de sopa cheia,15,0,3,13,,,
Salsicha comum,1 unidade média,35,0,116,485,,,
"Salsicha comum com molho de tomate (tomate, óleo, cebola e alho)",1 unidade média,31,2,69,289,,,
Salsicha de frango Sadia®,1 unidade média,50,1,99,414,,,
Salsicha de frango Sadia®,1 unidade média,35,1,74,310,,,
Salsicha de peru light Sadia®,1 unidade média,35,1,58,243,,,
Salsicha de peru Sadia®,1 unidade média,50,2,104,435,,,
Salsicha envasada (em conserva),1 unidade média,35,0,64,268,,,
Salsicha envasada (em conserva) Oderich®,1 unidade média,50,0,70,293,,,
Salsicha light,1 unidade média,30,3,36,151,,,
Salsichão,1 unidade média,60,2,139,582,,,
Salsichão,1 unidade média,100,3,312,1305,,,
Salsichão (Wurst®),1 unidade média,100,3,312,1305,,,
Sanduíche americano,1 unidade média,190,28,278,1163,,,
"Sanduíche americano (pão forma c/ presunto, queijo muçarela, alface, tomate, ovo frito e maionese)",1 unidade média,210,30,446,1866,,,
Sanduíche BMT italiano (Subway) ®,1 porção de 15 cm,216,47,405,1695,,,
Sanduíche de almôndegas (Subway) ®,1 porção de 15 cm,379,61,498,2084,,,
Sanduiche de almondegas (Subway®),1 porção de 15cm,379,61,498,2084,,,
Sanduíche de atum,1 unidade média,120,33,372,1556,,,
Sanduíche de atum (Subway) ®,1 porção de 15 cm,233,47,337,1410,,,
Sanduiche de atum (Subway®),1 porção de 15cm,260,56,414,1732,,,
Sanduiche de BNT (Subway®),1 porção de 15cm,237,47,420,1757,,,
Sanduiche de carne (Subway®),1 porção de 15cm,249,46,386,1615,,,
Sanduíche de carne e queijo (Subway) ®,1 porção de 15 cm,234,48,344,1439,,,
Sanduiche de churrasco (Subway®),1 porção de 15cm,266,48,447,1870,,,
Sanduíche de frango,1 unidade média,120,33,299,1251,,,
"Sanduíche de frango (pão forma integral, peito de frango grelhado, alface americana, cenoura crua e tomate)",1 unidade média,140,26,229,958,,,
Sanduíche de frango (Subway) ®,1 porção de 15 cm,228,48,331,1385,,,
Sanduiche de frango (Subway®),1 porção de 15cm,241,46,315,1318,,,
Sanduiche de frango defumado c/ cream cheese (Subway®),1 porção de 15cm,259,47,450,1883,,,
Sanduíche de frango defumado com/ cream cheese (Subway)®,1 porção de 15 cm,232,47,372,1556,,,
Sanduíche de frango teriyaki (Subway)®,1 porção de 15 cm,237,61,361,1510,,,
Sanduiche de frango teriyaki (Subway®),1 porção de 15cm,283,61,379,1586,,,
Sanduiche de frutos do mar (Subway®),1 porção de 15cm,260,63,413,1728,,,
Sanduiche de italiano (Subway®),1 porção de 15cm,222,47,404,1690,,,
Sanduiche de mussarela de búfala (Subway®),1 porção de 15cm,261,55,450,1883,,,
Sanduíche de pão francês com salame,1 unidade,80,32,270,1130,,,
